state,code,btu_2019,2020_btu,2021
AL,PCEIB,0,0,0
AL,PCICB,0,0,0
AL,PCTCB,0,0,0
AL,PCTXB,0,0,0
AL,PLICB,0,0,0
AL,PMTCB,529319,525878,580020
AL,PPICB,0,0,0
AL,PPTCB,0,0,0
AL,PQACB,160,130,152
AL,PQCCB,2113,2220,2749
AL,PQICB,1913,1959,2795
AL,PQRCB,6034,5802,4511
AL,PQTCB,10220,10111,10206
AL,PQTXB,10220,10111,10206
AL,PYICB,0,0,0
AL,PYTCB,0,0,0
AL,REACB,26595,26263,28580
AL,RECCB,745,742,792
AL,REEIB,105443,120762,106804
AL,REGBP,4119,4105,4332
AL,REICB,163578,158617,165199
AL,RERCB,2184,1824,1838
AL,RETCB,298545,308209,303213
AL,RFACB,3552,2566,4850
AL,RFCCB,0,70,25
AL,RFEIB,0,0,0
AL,RFICB,3596,2548,3748
AL,RFTCB,7147,5184,8623
AL,RFTXB,7147,5184,8623
AL,SFCCB,0,0,0
AL,SFEIB,0,0,0
AL,SFINB,0,0,0
AL,SFRCB,0,0,0
AL,SFTCB,0,0,0
AL,SGICB,11418,10906,11504
AL,SNICB,2018,1826,1714
AL,SOCCB,88,91,119
AL,SOEGB,3426,3233,4369
AL,SOGBP,194,194,421
AL,SOICB,9,9,10
AL,SORCB,102,104,111
AL,SOTCB,3625,3437,4608
AL,SOTXB,200,204,239
AL,TEACB,500858,498149,553644
AL,TEAPB,102,99,109.6
AL,TECCB,257857,236309,247470
AL,TECPB,52.5,47,49
AL,TEEIB,1260549,1204324,1260606
AL,TEICB,820075,775196,825387
AL,TEIPB,167.1,154.1,163.4
AL,TERCB,348059,331659,339472
AL,TERPB,70.9,65.9,67.2
AL,TETCB,1927044,1841408,1965183
AL,TETGR,9.47,9.21,9.36
AL,TETPB,392.6,366,389.2
AL,TETXB,1926848,1841313,1965972
AL,TNACB,500858,498149,553644
AL,TNCCB,117092,108401,114670
AL,TNICB,621199,590567,629900
AL,TNRCB,150326,143583,147454
AL,TNTXB,1389475,1340701,1445667
AL,TPOPP,4908,5031,5050
AL,UOICB,1012,1479,382
AL,USICB,0,0,0
AL,WDCCB,286,290,292
AL,WDEIB,0,0,0
AL,WDGBP,627,612,613
AL,WDICB,162162,157274,163573
AL,WDRCB,1983,1621,1628
AL,WDTCB,164431,159185,165493
AL,WSCCB,0,0,0
AL,WSEIB,523,498,545
AL,WSGBP,6,6,6
AL,WSICB,1055,989,1262
AL,WSTCB,1577,1487,1808
AL,WWCCB,286,290,292
AL,WWEIB,523,498,545
AL,WWICB,163217,158263,164836
AL,WWTCB,166008,160672,167301
AL,WWTXB,165485,160174,166756
AL,WXICB,198,175,224
AL,WYCCB,0,0,0
AL,WYEGB,0,0,0
AL,WYGBP,0,0,0
AL,WYICB,0,0,0
AL,WYTCB,0,0,0
AL,WYTXB,0,0,0
AL,ZWCDP,2291,1989,1893
AL,ZWHDP,2390,2279,2389
AR,ABICB,-6,-4,-4
AR,ARICB,13234,13546,14408
AR,ARTCB,13234,13546,14408
AR,ARTXB,13234,13546,14408
AR,AVACB,244,225,245
AR,AVTCB,244,225,245
AR,AVTXB,244,225,245
AR,B1ACB,0,0,0
AR,B1TCB,0,0,0
AR,BDACB,3988,4173,2870
AR,BDLCB,117,115,83
AR,BDTCB,3988,4173,2870
AR,BFLCB,117,115,83
AR,BFTCB,16125,15058,14980
AR,BMTCB,92332,74385,72036
AR,BQICB,0,0,0
AR,BQTCB,0,0,0
AR,BTGBP,12,12,12
AR,BYICB,0,0,0
AR,BYTCB,0,0,0
AR,CLACB,0,0,0
AR,CLCCB,0,0,0
AR,CLEIB,235754,158577,212676
AR,CLGBP,5163,5128,5128
AR,CLICB,4045,3402,3447
AR,CLKCB,0,0,0
AR,CLOCB,4045,3402,3447
AR,CLRCB,0,0,0
AR,CLTCB,239798,161980,216123
AR,CLTXB,4045,3402,3447
AR,COICB,0,0,0
AR,DFACB,95310,94234,96959
AR,DFCCB,4001,2771,3108
AR,DFEIB,449,504,549
AR,DFICB,19959,21572,19661
AR,DFRCB,4,17,39
AR,DFTCB,119722,119097,120316
AR,DFTXB,119273,118594,119767
AR,DKEIB,449,504,549
AR,DMTCB,116098,115212,118567
AR,ELEXB,0,0,0
AR,ELGBP,14782,14835,14832
AR,ELIMB,0,0,0
AR,ELISB,-118494,-52997,-82505
AR,ELNIB,0,0,0
AR,EMACB,11589,10351,11596
AR,EMCCB,180,175,185
AR,EMICB,251,244,247
AR,EMLCB,0,0,0
AR,EMTCB,12020,10771,12028
AR,EQICB,0,0,0
AR,EQTCB,0,0,0
AR,ESACB,1,1,1
AR,ESCCB,40769,37909,39296
AR,ESICB,59408,57186,62194
AR,ESRCB,63915,61348,64548
AR,ESTCB,164093,156444,166039
AR,ESTXB,164093,156444,166039
AR,EYICB,0,0,0
AR,EYTCB,0,0,0
AR,FFGBP,11281,11261,11256
AR,FFTCB,941736,812860,905867
AR,FNICB,0,0,0
AR,FOICB,0,0,0
AR,FSICB,0,0,0
AR,GDPRV,131578.3,133969.1,148676.1
AR,GDPRX,117126,117268,123347
AR,GECCB,0,0,0
AR,GEEGB,0,0,0
AR,GEGBP,0,0,0
AR,GEICB,12,12,12
AR,GERCB,797,797,797
AR,GETCB,808,808,808
AR,GETXB,808,808,808
AR,HLACB,20,26,32
AR,HLCCB,1090,1413,1711
AR,HLICB,3661,2498,2361
AR,HLRCB,4095,4191,3983
AR,HLTCB,8866,8128,8086
AR,HLTXB,8866,8128,8086
AR,HPGBP,28,30,30
AR,HVGBP,1266,1266,1266
AR,HYCCB,0,0,0
AR,HYEGB,36795,39720,35630
AR,HYICB,0,0,0
AR,HYTCB,36795,39720,35630
AR,HYTXB,0,0,0
AR,IQICB,0,0,0
AR,IQTCB,0,0,0
AR,IYICB,0,0,0
AR,IYTCB,0,0,0
AR,JFACB,7007,5284,5659
AR,JFTCB,7007,5284,5659
AR,JFTXB,7007,5284,5659
AR,KSCCB,16,11,9
AR,KSICB,7,1,11
AR,KSRCB,4,3,5
AR,KSTCB,27,15,25
AR,KSTXB,27,15,25
AR,LOACB,3,1,1
AR,LOCCB,74543,70284,71015
AR,LOICB,108623,106025,112396
AR,LORCB,116863,113743,116651
AR,LOTCB,300031,290053,300062
AR,LOTXB,300031,290053,300062
AR,LUACB,1600,1484,1524
AR,LUICB,918,898,1005
AR,LUTCB,2517,2382,2529
AR,LUTXB,2517,2382,2529
AR,MBICB,0,0,0
AR,MGACB,176849,163639,175515
AR,MGCCB,2744,2765,2793
AR,MGICB,3824,3861,3742
AR,MGTCB,183417,170265,182051
AR,MGTXB,183417,170265,182051
AR,MMTCB,171398,159495,170023
AR,MSICB,1326,1256,1257
AR,NAICB,0,0,0
AR,NGACB,7861,6301,5328
AR,NGCCB,55846,53396,57877
AR,NGEIB,163318,138729,153547
AR,NGGBP,6109,6124,6119
AR,NGICB,110188,106310,109476
AR,NGRCB,34175,30704,34276
AR,NGTCB,371388,335441,360504
AR,NGTPB,122.9,111.3,119.1
AR,NGTXB,208070,196711,206958
AR,NNTCB,371388,335441,360504
AR,NUEGB,141750,157349,141603
AR,NUETB,141750,157349,141603
AR,NUGBP,1818,1818,1818
AR,OHICB,0,0,0
AR,OJGBP,0,0,0
AR,OMTCB,9801,9661,8370
AR,OPACB,0,0,1652
AR,OPICB,9801,9661,8370
AR,OPTCB,9801,9661,10022
AR,OPTXB,9801,9661,10022
AR,OTGBP,0,0,0
AR,P1ICB,25318,25578,25121
AR,P1TCB,27181,27301,28556
AR,P1TXB,27181,27301,28556
AR,PAACB,281029,264892,281586
AR,PACCB,7852,6959,7621
AR,PAEIB,449,525,549
AR,PAGBP,9,9,9
AR,PAICB,52761,53509,50885
AR,PARCB,4103,4211,4027
AR,PATCB,346194,330096,344668
AR,PATPB,114.6,109.5,113.8
AR,PATXB,345745,329572,344119
AR,PCCCB,0,0,0
AR,PCEIB,0,0,0
AR,PCICB,1358,1471,1327
AR,PCTCB,1358,1471,1327
AR,PCTXB,1358,1471,1327
AR,PLICB,0,0,0
AR,PMTCB,330550,315440,329239
AR,PPICB,0,0,0
AR,PPTCB,0,0,0
AR,PQACB,20,26,32
AR,PQCCB,1090,1413,1711
AR,PQICB,3661,2498,2361
AR,PQRCB,4095,4191,3983
AR,PQTCB,8866,8128,8086
AR,PQTXB,8866,8128,8086
AR,PYICB,0,0,0
AR,PYTCB,0,0,0
AR,REACB,15578,14524,14466
AR,RECCB,1416,1517,1809
