,state_abv,year,Administered,Administered Janssen,Administered Moderna,Administered Pfizer,Administered Novavax,Administered Unknown,Population 2020,Population 2021,Population 2022,Population 2023,Administered % of 2020,Administered Janssen % of 2020,Administered Moderna % of 2020,Administered Pfizer % of 2020,Administered Novavax % of 2020,Administered Unknown % of 2020,Administered % of 2021,Administered Janssen % of 2021,Administered Moderna % of 2021,Administered Pfizer % of 2021,Administered Novavax % of 2021,Administered Unknown % of 2021,Administered % of 2022,Administered Janssen % of 2022,Administered Moderna % of 2022,Administered Pfizer % of 2022,Administered Novavax % of 2022,Administered Unknown % of 2022,Administered % of 2023,Administered Janssen % of 2023,Administered Moderna % of 2023,Administered Pfizer % of 2023,Administered Novavax % of 2023,Administered Unknown % of 2023
29,IL,2023,499209.0,1731.0,-756153.0,-1374145.0,481.0,3614.0,243016783.0,241116479.0,239067785.0,238444091.0,0.20542161485200797,0.0007122964836547935,-0.3111525840583611,-0.5654527160784611,0.00019792871671747873,0.0014871400877691644,0.20704059800076957,0.0007179102843485036,-0.3136048614910307,-0.569909201436207,0.000199488646315211,0.0014988606398818555,0.2088148346712628,0.0007240624243872925,-0.3162923017837807,-0.5747930445752029,0.00020119816645308358,0.0015117051425393847,0.2093610279484762,0.0007259563416901785,-0.3171196219746121,-0.5762965205961007,0.00020172443694568216,0.0015156592829972876
30,IN,2022,815827.0,1726.0,266841.0,543241.0,375.0,3644.0,149360156.0,149903556.0,150310028.0,150968378.0,0.5462146142911098,0.0011555960078134895,0.17865608013960566,0.36371212681379367,0.00025107097504638385,0.0024397403548507275,0.5442345877371981,0.0011514069752955026,0.17800845231450013,0.36239367130156674,0.0002501608434158827,0.0024308963024199373,0.5427628554496711,0.0011482933128054503,0.1775270775679717,0.3614136776024019,0.0002494843524345561,0.0024243226140573935,0.5403959496736462,0.001143285781344223,0.17675290914233707,0.3598376078465916,0.0002483963893418793,0.002413750514031488
31,IN,2023,192516.0,1012.0,-194956.0,-383259.0,208.0,4875.0,128992862.0,129462162.0,129813206.0,130381781.0,0.14924546755153012,0.0007845395352186232,-0.15113704508703746,-0.29711644044303787,0.00016124923253505298,0.0037792788875403043,0.14870445312044148,0.0007816955814471876,-0.15058917369231017,-0.2960393941204226,0.000160664704487169,0.0037655790114180234,0.1483023229547231,0.000779581701417959,-0.150181946819802,-0.29523883725666555,0.00016023023112147773,0.003755396041909634,0.14765559921289922,0.0007761820648852771,-0.14952702632586373,-0.29395134585559923,0.00015953149159697396,0.0037390193343040776
32,KS,2022,542826.0,1703.0,171852.0,365519.0,608.0,3144.0,64638728.0,64634812.0,64607752.0,64692012.0,0.8397844710062983,0.002634643429245699,0.26586538027171575,0.565479877636206,0.000940612568984959,0.004863957100145907,0.8398353506466453,0.0026348030531905937,0.26588148813676443,0.5655141381087331,0.0009406695574514861,0.004864251790505711,0.8401871032442051,0.0026359066014245477,0.2659928486600184,0.5657509953294768,0.0009410635429630798,0.004866289110322241,0.8390927770185908,0.002632473387904522,0.2656463985074386,0.5650141164259971,0.0009398378272730179,0.004859950869977579
33,KS,2023,105238.0,653.0,-117095.0,-248944.0,145.0,2393.0,55824356.0,55820974.0,55797604.0,55870374.0,0.18851628131634873,0.00116974031908223,-0.20975611433833646,-0.44594155282328735,0.0002597432561514906,0.004286659392900117,0.188527702866668,0.001169811189607691,-0.20976882273677275,-0.4459685708816188,0.0002597589930981856,0.004286919106785919,0.18860666490267217,0.0011703011476980267,-0.20985668130122578,-0.4461553582121555,0.0002598677893050748,0.004288714619358924,0.18836100864476046,0.0011687768547960678,-0.20958334733896716,-0.44557425013836494,0.0002595293169149002,0.00428312865777487
34,KY,2022,618677.0,1067.0,233944.0,383058.0,331.0,277.0,99179410.0,99167200.0,99254386.0,99575388.0,0.6237958060044922,0.0010758281381185873,0.23587960444612444,0.3862273429535425,0.00033373862578936497,0.000279291840917384,0.6238726111052848,0.0010759605998757653,0.23590864721399818,0.3862748973450899,0.0003337797174872337,0.0002793262288337273,0.6233245954491119,0.001075015465815284,0.23570142280664558,0.3859355897884452,0.00033348652219761856,0.00027908086600827894,0.6213151788070361,0.001071549929587018,0.23494159018491598,0.38469144604287153,0.0003324114589440515,0.0002781811907175295
35,KY,2023,117606.0,812.0,-176050.0,-277471.0,96.0,31.0,85654945.0,85644400.0,85719697.0,85996926.0,0.13730205535710752,0.0009479896344571817,-0.20553395953963896,-0.32394043332816336,0.00011207759225109537,3.619172249774954e-05,0.13731896072597857,0.0009481063560489654,-0.20555926598820237,-0.3239803186197813,0.00011209139184815353,3.619617861763291e-05,0.13719833844023036,0.0009472735303765714,-0.20537870076698944,-0.32369573121566214,0.00011199292969969317,3.616438354885925e-05,0.13675605102442848,0.0009442197968797163,-0.2047166197545247,-0.322652230615778,0.00011163189716804527,3.604780012718129e-05
36,LA,2022,397187.0,990.0,151722.0,243518.0,510.0,447.0,102344484.0,101795034.0,100936506.0,100622478.0,0.3880883311698557,0.0009673213067350068,0.14824638717217042,0.23793954542777312,0.0004983170368028823,0.00043676022637429096,0.39018308103320637,0.0009725425309057808,0.14904656350917866,0.23922385054657969,0.0005010067583454022,0.0004391176881968525,0.39350183173568537,0.0009808146123068695,0.1503142975842655,0.2412585987472164,0.0005052681336126297,0.0004428526582840108,0.39472989325506375,0.000983875590899282,0.15078340646709176,0.2420115314592034,0.0005068450013723574,0.0004442347364969485
37,LA,2023,91378.0,278.0,-107022.0,-165949.0,107.0,197.0,88388418.0,87913893.0,87172437.0,86901231.0,0.10338232323606018,0.0003145208459325519,-0.12108147472443731,-0.18774971173259375,0.00012105658458555055,0.00022287988003134076,0.10394034080597478,0.0003162185071249205,-0.12173502542993972,-0.18876311165062387,0.00012171000094376438,0.00022408289893384656,0.10482441829634749,0.00031890814294890024,-0.12277045782257986,-0.19036865976340664,0.00012274522048752635,0.00022598886388824947,0.10515155993590011,0.00031990340850292443,-0.12315360642014381,-0.19096277243759643,0.00012312829032306804,0.00022669414199667667
38,MA,2022,2165585.0,2124.0,903258.0,1259169.0,1060.0,-26.0,153949686.0,153822922.0,153620280.0,154030778.0,1.406683609604764,0.0013796715376217137,0.5867228595711459,0.8179094304875685,0.0006885366430692168,-1.688863464132041e-05,1.4078428441243627,0.001380808511750934,0.5872063722726578,0.8185834618328209,0.0006891040595367184,-1.690255240373083e-05,1.4096999432626993,0.0013826299496394617,0.5879809618886256,0.8196632632097793,0.0006900130633793924,-1.692484872440019e-05,1.4059430382153884,0.0013789451871755137,0.586413969810631,0.8174788288091359,0.000688174151791923,-1.687974334583962e-05
