"st_abbreviation","2019","2020","2021","2022","2023","code","btu_2019","btu_2020","btu_2021"
"AK","733374","732964","734923","733276","733406","WYGBP","61","60","59"
"AK","733374","732964","734923","733276","733406","WYICB","0","0","0"
"AK","733374","732964","734923","733276","733406","WYTCB","1269","1127","1169"
"AK","733374","732964","734923","733276","733406","WYTXB","0","0","0"
"AK","733374","732964","734923","733276","733406","ZWCDP","93","5","30"
"AK","733374","732964","734923","733276","733406","ZWHDP","8998","10781","10976"
"AL","5024294","5031864","5050380","5073903","5108468","ABICB","-9","-6","-6"
"AL","5024294","5031864","5050380","5073903","5108468","ARICB","12470","13807","13875"
"AL","5024294","5031864","5050380","5073903","5108468","ARTCB","12470","13807","13875"
"AL","5024294","5031864","5050380","5073903","5108468","ARTXB","12470","13807","13875"
"AL","5024294","5031864","5050380","5073903","5108468","AVACB","361","320","369"
"AL","5024294","5031864","5050380","5073903","5108468","AVTCB","361","320","369"
"AL","5024294","5031864","5050380","5073903","5108468","AVTXB","361","320","369"
"AL","5024294","5031864","5050380","5073903","5108468","B1ACB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","B1TCB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","BDACB","5195","5351","3803"
"AL","5024294","5031864","5050380","5073903","5108468","BDLCB","20","21","22"
"AL","5024294","5031864","5050380","5073903","5108468","BDTCB","5195","5351","3803"
"AL","5024294","5031864","5050380","5073903","5108468","BFLCB","20","21","22"
"AL","5024294","5031864","5050380","5073903","5108468","BFTCB","27276","26927","29273"
"AL","5024294","5031864","5050380","5073903","5108468","BMTCB","193284","187599","196574"
"AL","5024294","5031864","5050380","5073903","5108468","BQICB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","BQTCB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","BTGBP","1","1","1"
"AL","5024294","5031864","5050380","5073903","5108468","BYICB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","BYTCB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","CLACB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","CLCCB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","CLEIB","268395","219945","270310"
"AL","5024294","5031864","5050380","5073903","5108468","CLGBP","5284","4728","4728"
"AL","5024294","5031864","5050380","5073903","5108468","CLICB","48785","36742","39482"
"AL","5024294","5031864","5050380","5073903","5108468","CLKCB","28303","22153","21663"
"AL","5024294","5031864","5050380","5073903","5108468","CLOCB","20482","14589","17819"
"AL","5024294","5031864","5050380","5073903","5108468","CLRCB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","CLTCB","317180","256687","309791"
"AL","5024294","5031864","5050380","5073903","5108468","CLTXB","48785","36742","39482"
"AL","5024294","5031864","5050380","5073903","5108468","COICB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","DFACB","130946","126992","132979"
"AL","5024294","5031864","5050380","5073903","5108468","DFCCB","4622","3705","4698"
"AL","5024294","5031864","5050380","5073903","5108468","DFEIB","167","74","211"
"AL","5024294","5031864","5050380","5073903","5108468","DFICB","20177","21929","21427"
"AL","5024294","5031864","5050380","5073903","5108468","DFRCB","23","14","144"
"AL","5024294","5031864","5050380","5073903","5108468","DFTCB","155936","152714","159458"
"AL","5024294","5031864","5050380","5073903","5108468","DFTXB","155768","152640","159248"
"AL","5024294","5031864","5050380","5073903","5108468","DKEIB","167","74","211"
"AL","5024294","5031864","5050380","5073903","5108468","DMTCB","150939","147458","157055"
"AL","5024294","5031864","5050380","5073903","5108468","ELEXB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","ELGBP","29256","28739","28911"
"AL","5024294","5031864","5050380","5073903","5108468","ELIMB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","ELISB","-422596","-419166","-448285"
"AL","5024294","5031864","5050380","5073903","5108468","ELNIB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","EMACB","21400","20913","24777"
"AL","5024294","5031864","5050380","5073903","5108468","EMCCB","371","361","381"
"AL","5024294","5031864","5050380","5073903","5108468","EMICB","290","282","290"
"AL","5024294","5031864","5050380","5073903","5108468","EMLCB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","EMTCB","22061","21556","25448"
"AL","5024294","5031864","5050380","5073903","5108468","EQICB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","EQTCB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","ESACB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","ESCCB","78737","72702","74533"
"AL","5024294","5031864","5050380","5073903","5108468","ESICB","111241","104942","109715"
"AL","5024294","5031864","5050380","5073903","5108468","ESRCB","110602","106902","107769"
"AL","5024294","5031864","5050380","5073903","5108468","ESTCB","300581","284546","292017"
"AL","5024294","5031864","5050380","5073903","5108468","ESTXB","300581","284546","292017"
"AL","5024294","5031864","5050380","5073903","5108468","EYICB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","EYTCB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","FFGBP","19610","19089","19125"
"AL","5024294","5031864","5050380","5073903","5108468","FFTCB","1595230","1497435","1629357"
"AL","5024294","5031864","5050380","5073903","5108468","FNICB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","FOICB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","FSICB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","GDPRV","231561.9","230892.1","254109.7"
"AL","5024294","5031864","5050380","5073903","5108468","GDPRX","203433","199881","209979"
"AL","5024294","5031864","5050380","5073903","5108468","GECCB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","GEEGB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","GEGBP","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","GEICB","42","42","42"
"AL","5024294","5031864","5050380","5073903","5108468","GERCB","99","99","99"
"AL","5024294","5031864","5050380","5073903","5108468","GETCB","141","141","141"
"AL","5024294","5031864","5050380","5073903","5108468","GETXB","141","141","141"
"AL","5024294","5031864","5050380","5073903","5108468","HLACB","160","130","152"
"AL","5024294","5031864","5050380","5073903","5108468","HLCCB","2113","2220","2749"
"AL","5024294","5031864","5050380","5073903","5108468","HLICB","1913","1959","2795"
"AL","5024294","5031864","5050380","5073903","5108468","HLRCB","6034","5802","4511"
"AL","5024294","5031864","5050380","5073903","5108468","HLTCB","10220","10111","10206"
"AL","5024294","5031864","5050380","5073903","5108468","HLTXB","10220","10111","10206"
"AL","5024294","5031864","5050380","5073903","5108468","HPGBP","0","0","0"
